Название организации;Адрес;Ссылка на сайт;Номера телефонов
ОМмаркет;Павловская ул., 18, Москва, Россия;http://om-market.eco/;+7 (985) 397-67-69 +7 (925) 795-42-52
Даниловский рынок;Мытная ул., 74, Москва, Россия;http://danrinok.ru/;+7 (495) 120-18-01 +7 (968) 632-38-27
Ашан;ул. Вавилова, 3, Москва, Россия;https://www.auchan.ru/;8 (800) 700-58-00 +7 (903) 665-10-64
Монастырская выпечка;ул. Даниловский Вал, 10, Москва, Россия;Ссылки нет;+7 (499) 764-79-23 +7 (495) 958-52-87
Воскресная ярмарка;Мытная ул., 74, стр. 2, Москва, Россия;Ссылки нет;+7 (495) 364-11-62 +7 (985) 076-55-20
Лента;7-я Кожуховская ул., 9, Москва, Россия;https://lenta.com/;8 (800) 700-41-11
Ko&Co;Мытная ул., 74, Москва, Россия;http://koico.ru/;8 (800) 250-58-24 +7 (966) 110-69-87
Перекрёсток;Люсиновская ул., 70, стр. 1, Москва, Россия;https://www.perekrestok.ru/;+7 (495) 660-04-96 8 (800) 200-95-55
Ашан Сити;Автозаводская ул., 18, Москва, Россия;https://www.auchan.ru/;8 (800) 700-58-00
О'кей;Каширское ш., 14, Москва, Россия;Ссылки нет;8 (800) 250-00-08 +7 (499) 951-05-36
Dolce Latte;Мытная ул., 74, Москва, Россия;http://dolcelatte.pro/;+7 (926) 577-56-87 +7 (903) 009-50-09
А-икра;Варшавское ш., 1, стр. 1, Москва, Россия;https://a-ikra.ru/;+7 (499) 110-51-20 +7 (499) 110-51-30
Перекрёсток;Большая Тульская ул., 2, Москва, Россия;https://www.perekrestok.ru/;+7 (495) 662-88-88 8 (800) 200-95-55
М2 Органик клуб, магазин органических продуктов;Мытная ул., 74, Москва, Россия;http://www.m2-shop.ru/;+7 (495) 025-30-30
ВкусВилл;Малая Тульская ул., 2/1к4, Москва, Россия;https://vkusvill.ru/;8 (800) 550-86-02 +7 (495) 663-86-02 +7 (926) 160-46-81
Metro Cash & Carry;1-я Дубровская ул., 13А, стр. 1, Москва, Россия;https://msk.metro-cc.ru/;+7 (495) 123-26-00
Лента;Большая Черёмушкинская ул., 1, Москва, Россия;https://lenta.com/;8 (800) 700-41-11
Усачёвский рынок;Усачёва ул., 26, Москва, Россия;https://usch.ru/;8 (800) 550-64-64 +7 (495) 120-91-00
Добрынинский;Мытная ул., 52, Москва, Россия;http://dobrynka-online.ru/;+7 (495) 789-96-16 +7 (929) 555-29-39
Мясо;Дубининская ул., 71, стр. 20, Москва, Россия;Ссылки нет;+7 (985) 224-05-21
Моремания;Комсомольский просп., 24, стр. 1, Москва, Россия;http://moremania.info/;+7 (903) 682-07-36
Metro Cash & Carry;Шоссейная ул., 2Б, Москва, Россия;https://msk.metro-cc.ru/;+7 (495) 502-19-71
Азбука Вкуса;Люсиновская ул., 60, Москва, Россия;https://av.ru/;8 (800) 700-34-87 +7 (495) 504-34-78
Азбука Вкуса;Большая Тульская ул., 13, Москва, Россия;https://av.ru/;8 (800) 700-34-87 +7 (495) 504-34-78
Сахалинский икорный дом;Малая Калужская ул., 15, стр. 18, Москва, Россия;https://seafood-shop.ru/;+7 (925) 003-00-53 +7 (495) 744-39-53
Милти;Большая Тульская ул., 2, Москва, Россия;http://www.mealty.ru/;+7 (495) 215-13-11
Центральный рынок;Рождественский бул., 1, Москва, Россия;http://moscowcentralmarket.ru/;+7 (495) 902-77-77
ВкусВилл;Мытная ул., 52, Москва, Россия;https://vkusvill.ru/;8 (800) 550-86-02 +7 (495) 663-86-02 +7 (925) 780-02-87
Metro Cash&Carry;Дорожная ул., 1, корп. 1, Москва, Россия;https://msk.metro-cc.ru/;+7 (495) 502-10-02
Хлебокомбинат Пролетарец;Новоостаповская ул., 12, стр. 1, Москва, Россия;Ссылки нет;+7 (495) 674-13-96
Итальянские традиции сырная лавка;Люсиновская ул., 35, корп. 7, Москва, Россия;http://itradition.ru/;+7 (965) 367-76-90
Белорусский гостинец;Мытная ул., 56, Москва, Россия;Ссылки нет;+7 (925) 070-21-54
Metro Cash&Carry;Складочная ул., 1, стр. 1, Москва, Россия;https://msk.metro-cc.ru/;+7 (495) 139-18-01
Ашан Сити;Севастопольский просп., 11Е, Москва, Россия;https://www.auchan.ru/;8 (800) 700-58-00 +7 (495) 795-21-06
Семушка;Большая Серпуховская ул., 32, стр. 1, Москва, Россия;https://www.semushka.com/;+7 (495) 488-72-84 +7 (495) 602-64-24
