Название товара;Ссылка на продукт;Цена;Адресс
Игровой компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_1934410750;30 000;ул. Ленина
Компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_1991879222;5 500;Владимирское ш., 2/52
Компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_1968166374;20 000;ул. Куликова, 4
Компьютер (i5,16gb,1000gb,gtx1050ti);https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_i516gb1000gbgtx1050ti_1960857815;22 000;Владимирская область, Муром
Игровой i7/GTX1070;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_i7gtx1070_1988907566;38 000;ул. Лакина, 86А
Системный блок с монитором;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_s_monitorom_1984755321;27 000;ул. Мечтателей, 4
Системный блок;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_2011893669;5 000;Владимирская область, Муром
Компьютеры игровые i5 9400 Geforce GTX 1660Sup 6Gb;https://www.avito.ru/murom/nastolnye_kompyutery/kompyutery_igrovye_i5_9400_geforce_gtx_1660sup_6gb_1460477646;43 800;Советская ул., 15
Компьютер i5 9400/8Gb/1Tb/RTX 2060 6gb DDR6;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_i5_94008gb1tbrtx_2060_6gb_ddr6_1494150947;50 200;Советская ул., 15
Компьютер Ryzen 5 2600/8Gb/1Tb/GTX 1660 6G DDR5;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_ryzen_5_26008gb1tbgtx_1660_6g_ddr5_1666883464;44 200;Советская ул., 15
Системный блок;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_1939868383;35 650;Советская ул., 15
Игровой компьютер Ryzen 5+ 2600 RX 5500 XT 4Gb gdd;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_ryzen_5_2600_rx_5500_xt_4gb_gdd_1571510197;37 000;Советская ул., 15
Игровой компьютер Ryzen 3 3200 8Gb GTX 1650 4Gb;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_ryzen_3_3200_8gb_gtx_1650_4gb_1939095924;33 250;Советская ул., 15
Игровой компьютер Ryzen 5 3500 GTX 1660 6Gb;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_ryzen_5_3500_gtx_1660_6gb_1087871549;36 950;Советская ул., 15
Игровой компьютер на Intel Core i5-10400;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_na_intel_core_i5-10400_1938968783;55 600;Советская ул., 15
Игровой компьютер Ryzen 3 3200 vega8;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_ryzen_3_3200_vega8_1779544814;18 150;Советская ул., 15
Компьютер игровой AMD Ryzen 5 2600 3,9Ghz LGA AM;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_igrovoy_amd_ryzen_5_2600_39ghz_lga_am_1483734619;35 600;Советская ул., 15
Компьютер I3 9100F 3,6Ghz soket 1151v2 GTX1650 4Gb;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_i3_9100f_36ghz_soket_1151v2_gtx1650_4gb_1669074216;32 500;Советская ул., 15
Компьютер AMD Ryzen 5 2600 4.0Ghz RTX 2060 6Gb;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_amd_ryzen_5_2600_4.0ghz_rtx_2060_6gb_1592230094;48 500;Советская ул., 15
Компьютер офисный inlel Pentium gold G5400;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_ofisnyy_inlel_pentium_gold_g5400_949891175;16 700;Советская ул., 15
Игровой Компьютер AMD Ryzen 5 2600 GTX1660 6G GDR5;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_amd_ryzen_5_2600_gtx1660_6g_gdr5_1198080765;41 700;Советская ул., 15
Игровой компьютер Ryzen 5 3600 GTX 1660 6Gb DDR5;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_ryzen_5_3600_gtx_1660_6gb_ddr5_1811638070;44 000;Советская ул., 15
Компьютер AMD Ryzen 5 3400 8Gb 1Tb Vega 11;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_amd_ryzen_5_3400_8gb_1tb_vega_11_1065179477;25 950;Советская ул., 15
Продам системный блок AMD 6 ядер;https://www.avito.ru/murom/nastolnye_kompyutery/prodam_sistemnyy_blok_amd_6_yader_2004535273;11 000;ул. Автодора, 44
Компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_1987056351;6 000;Пролетарская ул., 41
Системный блок;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_1989931499;500;с. Панфилово, Октябрьская ул., 14
Компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_1990109495;10 000;Кленовая ул., 5
Игровой пк;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_pk_2003422009;53 999;Владимирская область, Муром
Пк;https://www.avito.ru/murom/nastolnye_kompyutery/pk_2001192405;20 000;пос. Механизаторов, 69
Игровой пк;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_pk_1960892541;22 000;Владимирская область, Муром
Системный блок I5/16Gb/1050Ti4Gb/500Gb/H61;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_i516gb1050ti4gb500gbh61_1977749721;18 000;д. Михалево, Кооперативная ул.
Компьютер 500мб - 110Гб Windows XP;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_500mb_-_110gb_windows_xp_1993946740;3 000;пос. Механизаторов
Компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_2001561032;8 000;ул. Мечникова
Игровой компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_kompyuter_1988929195;27 500;ул. Лакина, 85
Компьютер для учёбы, игр и работы;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_dlya_ucheby_igr_i_raboty_1939808396;35 750;Советская ул., 15
Системный блок. G4900/4Gb/240SSD;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok._g49004gb240ssd_1905008908;16 190;ул. Ленина, 53А
Системный блок irbis;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_irbis_1970579467;3 000;Владимирская ул., 14
Продам компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/prodam_kompyuter_1953552242;19 000;пос. Механизаторов
Продам компьютер (Системный блок);https://www.avito.ru/murom/nastolnye_kompyutery/prodam_kompyuter_sistemnyy_blok_1981812824;1 500;пл. 1100-летия Мурома, 8
Системный блок;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_1963236228;15 000;ул. Мечникова, 56
Компьютеры для офиса и обучения;https://www.avito.ru/murom/nastolnye_kompyutery/kompyutery_dlya_ofisa_i_obucheniya_1919326516;4 000;Владимирская область, Муром
Компьютер;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_1202011149;9 500;Владимирская область, Муром
Компьютер игровой и нет;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_igrovoy_i_net_1957702216;15 000;Московская ул.
Неттоп Porto intel i5;https://www.avito.ru/murom/nastolnye_kompyutery/nettop_porto_intel_i5_1967390421;8 900;б-р Тихомирова, 15
Системный блок;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_1926305916;60 000;Московская ул.
Системный блок. i5 9400F/16Gb/240gbssd/1Tb/RX580;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok._i5_9400f16gb240gbssd1tbrx580_1905547225;55 450;ул. Ленина, 53А
Системный блок. Новый.G5420/8Gb/240SSD;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok._novyy.g54208gb240ssd_1905826746;17 870;ул. Ленина, 53А
Системный блок. Компьютер. G5420/8Gb/120SSD/1Тб;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok._kompyuter._g54208gb120ssd1tb_1905474343;26 650;ул. Ленина, 53А
Системный блок HP Desktop Pro MT;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_hp_desktop_pro_mt_1937758552;18 940;ул. Ленина, 53А
Системный блок HP Desktop Pro MT;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_hp_desktop_pro_mt_1937827052;21 970;ул. Ленина, 53А
Компьютер LG;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_lg_1985835769;8 000;Владимирская область, Муром
Игровой пк (кс, дотка);https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_pk_ks_dotka_2002645455;20 000;Карачаровское ш.
Компьютер Ryzen 5 3600X /16 gb /RTX 2060Super 8Gb;https://www.avito.ru/murom/nastolnye_kompyutery/kompyuter_ryzen_5_3600x_16_gb_rtx_2060super_8gb_1907793486;71 500;Советская ул., 15
Системный блок core i5;https://www.avito.ru/murom/nastolnye_kompyutery/sistemnyy_blok_core_i5_1981241473;12 000;пл. 1100-летия Мурома, 2
Игровой пк на LGA 2011;https://www.avito.ru/murom/nastolnye_kompyutery/igrovoy_pk_na_lga_2011_1982610471;27 000;Владимирская область, Муром
